id,Class,Predicted
1000.jpg,White,White
1001.jpg,White,White
1054.jpg,PurpleWhite,PurpleWhite
1055.jpg,PurpleWhite,Yellow
1056.jpg,PurpleWhite,PurpleWhite
1057.jpg,PurpleWhite,Purple
1058.jpg,PurpleWhite,PurpleWhite
1059.jpg,PurpleWhite,PurpleWhite
1060.jpg,PurpleWhite,PurpleWhite
1085.jpg,White,Inconsistent
1086.jpg,White,White
1087.jpg,White,White
1185.jpg,RedYellow,Yellow
1186.jpg,RedYellow,RedYellow
1187.jpg,RedYellow,White
1188.jpg,RedYellow,RedYellow
1189.jpg,RedYellow,RedYellow
1190.jpg,RedYellow,RedYellow
1191.jpg,RedYellow,RedYellow
1192.jpg,RedYellow,RedYellow
1193.jpg,RedYellow,RedYellow
1194.jpg,RedYellow,White
1195.jpg,RedYellow,RedYellow
1322.jpg,White,White
1323.jpg,White,Green
1324.jpg,White,Inconsistent
1325.jpg,White,White
1326.jpg,White,Yellow
1327.jpg,White,White
1385.jpg,White,White
1386.jpg,White,Inconsistent
1387.jpg,White,White
1388.jpg,White,White
1389.jpg,White,White
139.jpg,Purple,Purple
1390.jpg,White,Inconsistent
1391.jpg,White,Inconsistent
1392.jpg,White,White
1400.jpg,White,White
1427.jpg,White,White
1428.jpg,White,Yellow
1429.jpg,White,Yellow
1430.jpg,White,White
163.jpg,Purple,Purple
164.jpg,Purple,Purple
165.jpg,Purple,PurpleWhite
170.jpg,GreenRed,White
1729.jpg,Purple,Purple
1730.jpg,Purple,White
1731.jpg,Purple,Purple
1732.jpg,Purple,Inconsistent
1733.jpg,Purple,Purple
1734.jpg,Purple,Purple
1735.jpg,Purple,Purple
1736.jpg,Purple,Purple
1737.jpg,Purple,Purple
1738.jpg,Purple,Purple
1739.jpg,Purple,Purple
1740.jpg,Purple,Purple
1741.jpg,Purple,Purple
1742.jpg,Purple,Purple
1743.jpg,Purple,Purple
1744.jpg,Purple,Yellow
1745.jpg,Purple,Yellow
1746.jpg,Purple,Purple
1747.jpg,Purple,Purple
1748.jpg,Purple,Purple
1749.jpg,Purple,Purple
1750.jpg,Purple,Purple
1812.jpg,PurpleWhite,PurpleWhite
1813.jpg,PurpleWhite,PurpleWhite
1814.jpg,PurpleWhite,Yellow
1815.jpg,PurpleWhite,PurpleWhite
1816.jpg,PurpleWhite,PurpleWhite
1817.jpg,PurpleWhite,PurpleWhite
1818.jpg,PurpleWhite,Purple
1855.jpg,White,White
1856.jpg,White,White
1857.jpg,White,White
1858.jpg,White,White
1897.jpg,White,White
1898.jpg,White,White
1899.jpg,White,White
1900.jpg,White,White
1901.jpg,White,White
193.jpg,Purple,Purple
1933.jpg,GreenRed,Green
1934.jpg,GreenRed,GreenRed
1935.jpg,GreenRed,Yellow
1936.jpg,GreenRed,GreenRed
194.jpg,Purple,Purple
195.jpg,Purple,Purple
1993.jpg,White,White
1994.jpg,White,White
1995.jpg,White,White
1996.jpg,White,White
1997.jpg,White,White
1998.jpg,White,White
1999.jpg,White,White
222.jpg,Purple,Purple
223.jpg,Purple,Purple
224.jpg,Purple,Purple
225.jpg,Purple,Purple
228.jpg,Purple,Purple
2334.jpg,Yellow,Yellow
2335.jpg,Yellow,Yellow
2336.jpg,Yellow,Yellow
2337.jpg,Yellow,Yellow
2338.jpg,Yellow,Yellow
2339.jpg,Yellow,Yellow
2340.jpg,Yellow,Yellow
2341.jpg,Yellow,Yellow
2342.jpg,Yellow,Yellow
2343.jpg,Yellow,Yellow
2344.jpg,Yellow,Yellow
2345.jpg,Yellow,Yellow
2346.jpg,Yellow,Green
2347.jpg,Yellow,Yellow
2348.jpg,Yellow,Yellow
2349.jpg,Yellow,Yellow
2350.jpg,Yellow,Yellow
2351.jpg,Yellow,Yellow
2352.jpg,Yellow,Inconsistent
2353.jpg,Yellow,Yellow
2354.jpg,Yellow,Yellow
2355.jpg,Yellow,Yellow
2356.jpg,Yellow,Yellow
