id,Class,Binary_Predicted,Multiclass_Predicted,Ensemble_Predicted
1000.jpg,Red,Yellow,Red,Red
1001.jpg,Red,Red,Red,Red
1054.jpg,Yellow,Yellow,Yellow,Yellow
1055.jpg,Yellow,Yellow,Red,Red
1056.jpg,Yellow,Yellow,Yellow,Yellow
1057.jpg,Yellow,Yellow,Yellow,Yellow
1058.jpg,Yellow,Yellow,Yellow,Yellow
1059.jpg,Yellow,Yellow,Yellow,Yellow
1060.jpg,Yellow,Yellow,Yellow,Yellow
1085.jpg,Yellow,Green,Green,Green
1086.jpg,Yellow,Yellow,Yellow,Yellow
1087.jpg,Yellow,Yellow,Yellow,Yellow
1185.jpg,Yellow,Red,Red,Red
1186.jpg,Yellow,Yellow,Yellow,Yellow
1187.jpg,Yellow,Yellow,Yellow,Yellow
1188.jpg,Yellow,Yellow,Yellow,Yellow
1189.jpg,Yellow,Yellow,Yellow,Yellow
1190.jpg,Yellow,Yellow,Yellow,Yellow
1191.jpg,Yellow,Yellow,Yellow,Yellow
1192.jpg,Yellow,Yellow,Yellow,Yellow
1193.jpg,Yellow,Green,Yellow,Green
1194.jpg,Yellow,Red,Yellow,Red
1195.jpg,Yellow,Yellow,Yellow,Yellow
1322.jpg,Green,Green,Green,Green
1323.jpg,Green,Green,Green,Green
1324.jpg,Green,Green,Green,Green
1325.jpg,Green,Green,Green,Green
1326.jpg,Green,Green,Green,Green
1327.jpg,Green,Red,Red,Red
1385.jpg,Yellow,Red,Red,Red
1386.jpg,Yellow,Red,Red,Red
1387.jpg,Yellow,Yellow,Yellow,Yellow
1388.jpg,Yellow,Yellow,Yellow,Yellow
1389.jpg,Yellow,Yellow,Yellow,Yellow
139.jpg,Purple,Purple,Purple,Purple
1390.jpg,Yellow,Red,Red,Red
1391.jpg,Yellow,Yellow,Yellow,Yellow
1392.jpg,Yellow,Red,Red,Red
1400.jpg,White,White,White,White
1427.jpg,Green,Green,Green,Green
1428.jpg,Green,White,White,White
1429.jpg,Green,White,White,White
1430.jpg,Green,Green,White,Green
163.jpg,Purple,Purple,Purple,Purple
164.jpg,Purple,Purple,Purple,Purple
165.jpg,Purple,Purple,Purple,Purple
170.jpg,Green,White,White,White
1729.jpg,Red,Red,Red,Red
1730.jpg,Red,Purple,Yellow,Purple
1731.jpg,Red,Red,Red,Red
1732.jpg,Red,Red,Red,Red
1733.jpg,Red,Red,Red,Red
1734.jpg,Red,Red,Red,Red
1735.jpg,Red,Red,Red,Red
1736.jpg,Red,Red,Red,Red
1737.jpg,Red,Red,Red,Red
1738.jpg,Red,Red,Red,Red
1739.jpg,Red,Red,Red,Red
1740.jpg,Red,Red,Red,Red
1741.jpg,Red,Red,Red,Red
1742.jpg,Red,Red,Red,Red
1743.jpg,Red,Red,Red,Red
1744.jpg,Red,Red,White,Red
1745.jpg,Red,Green,Red,Green
1746.jpg,Red,Red,Red,Red
1747.jpg,Red,Red,Red,Red
1748.jpg,Red,Red,Red,Red
1749.jpg,Red,Red,Red,Red
1750.jpg,Red,Red,Red,Red
1812.jpg,Purple,Purple,Purple,Purple
1813.jpg,Purple,Purple,Purple,Purple
1814.jpg,Purple,Red,Purple,Red
1815.jpg,Purple,Purple,Purple,Purple
1816.jpg,Purple,Purple,Purple,Purple
1817.jpg,Purple,Purple,Purple,Purple
1818.jpg,Purple,Red,Red,Red
1855.jpg,Green,Green,Green,Green
1856.jpg,Green,Green,Red,Green
1857.jpg,Green,Green,Green,Green
1858.jpg,Green,Green,Green,Green
1897.jpg,Green,Green,Red,Green
1898.jpg,Green,Green,Red,Green
1899.jpg,Green,Green,Red,Green
1900.jpg,Green,Green,Red,Green
1901.jpg,Green,Purple,Red,Purple
193.jpg,Purple,Purple,Purple,Purple
1933.jpg,Red,Red,Red,Red
1934.jpg,Red,Red,Red,Red
1935.jpg,Red,Red,Red,Red
1936.jpg,Red,Red,Red,Red
194.jpg,Purple,Purple,Purple,Purple
195.jpg,Purple,Purple,Purple,Purple
1993.jpg,Red,Red,Red,Red
1994.jpg,Red,Green,Green,Green
1995.jpg,Red,Red,Red,Red
1996.jpg,Red,Red,Red,Red
1997.jpg,Red,Red,Red,Red
1998.jpg,Red,Red,Red,Red
1999.jpg,Red,Red,Red,Red
222.jpg,Purple,Purple,Purple,Purple
223.jpg,Purple,Red,Red,Red
224.jpg,Purple,Purple,Purple,Purple
225.jpg,Purple,Purple,Purple,Purple
228.jpg,Purple,Purple,Purple,Purple
2334.jpg,Red,Red,Red,Red
2335.jpg,Red,Red,Green,Red
2336.jpg,Red,Red,Red,Red
2337.jpg,Red,Red,Red,Red
2338.jpg,Red,Red,Red,Red
2339.jpg,Red,Red,Red,Red
2340.jpg,Red,Red,Red,Red
2341.jpg,Red,Red,Red,Red
2342.jpg,Red,Red,Red,Red
2343.jpg,Red,Red,Red,Red
2344.jpg,Red,Red,Red,Red
2345.jpg,Red,Red,Red,Red
2346.jpg,Red,Red,Green,Red
2347.jpg,Red,Red,Red,Red
2348.jpg,Red,Red,Red,Red
2349.jpg,Red,Red,Red,Red
2350.jpg,Red,Red,Red,Red
2351.jpg,Red,Red,Red,Red
2352.jpg,Red,Red,Red,Red
2353.jpg,Red,Red,Red,Red
2354.jpg,Red,Red,Red,Red
2355.jpg,Red,Red,Red,Red
2356.jpg,Red,Red,Red,Red
2357.jpg,Red,Red,Red,Red
2358.jpg,Red,Red,Red,Red
2359.jpg,Red,Red,Red,Red
2360.jpg,Red,Red,Red,Red
2361.jpg,Red,Red,Red,Red
2380.jpg,White,Green,Green,Green
2381.jpg,White,White,White,White
2382.jpg,White,Green,White,Green
244.jpg,Purple,Purple,Purple,Purple
245.jpg,Purple,Purple,Purple,Purple
2512.jpg,White,Red,White,Red
2513.jpg,White,Purple,Green,Purple
2514.jpg,White,Red,Red,Red
2515.jpg,White,Red,White,Red
2516.jpg,White,White,White,White
2517.jpg,White,White,White,White
2518.jpg,White,White,White,White
2525.jpg,Green,White,White,White
2541.jpg,White,White,White,White
2542.jpg,White,White,White,White
2547.jpg,Yellow,Red,Red,Red
2566.jpg,Yellow,Yellow,Yellow,Yellow
2567.jpg,Yellow,Red,Yellow,Red
2570.jpg,Purple,Purple,Purple,Purple
2593.jpg,Green,Green,Green,Green
2594.jpg,Green,Green,Green,Green
2595.jpg,Green,Purple,Green,Purple
2599.jpg,Green,Green,White,Green
2603.jpg,Yellow,Green,Yellow,Green
2606.jpg,Green,Green,Green,Green
2682.jpg,Red,Purple,White,Purple
2683.jpg,Red,Red,Red,Red
2684.jpg,Red,Red,Green,Red
2685.jpg,Red,Red,Red,Red
2686.jpg,Red,Red,Red,Red
2687.jpg,Red,Red,Purple,Red
2688.jpg,Red,Red,Red,Red
2689.jpg,Red,Red,Purple,Red
2690.jpg,Red,Green,Red,Green
2700.jpg,Green,Green,Green,Green
2717.jpg,Green,Green,Green,Green
2718.jpg,Green,Green,Green,Green
2737.jpg,Yellow,Green,Purple,Green
2738.jpg,Yellow,Green,Green,Green
